# id	file_path	transparent_color_r	g	b
[TEXTURES]
10	Resources\Textures\Enemy\enemies1.png	3	26	100
20	Resources\Textures\Item\misc1.png	255	255	255
30	Resources\Textures\Enemy\enemy.png	255	255	255
40	Resources\Textures\Enemy\enemies.png	255	255	255
50	Resources\Textures\Enemy\enemies_custom_2.png	255	255	255
51	Resources\Textures\Enemy\enemies_custom.png	255	255	255

# id	left	top	width	height	texture_id
[SPRITES]

#GOOMBA
30001	9	11	16	16	30
30002	32	11	16	16	30
#die
30003	54	11	16	16	30
#die fly
30004	216	11	16	16	30
#RED GOOMBA
#GOOMBA RED HAS WING WALK
30005	140	35	20	24	30
30006	116	35	20	24	30
#GOOMBA RED HAS WING FLY
30007	90	35	20	24	30
30008	66	35	20	24	30
#GOOMBA RED NO WING WALK
30009	121	62	20	24	30
30010	100	62	20	24	30
#GOOMBA RED NO WING DIE
30011	141	58	20	25	30
#GOOMBA RED DIE FLY
#30012	244	11	16	16	30

#KOOPA RED
#walk
20001	30	67	16	26	30
20002	49	66	16	27	30
#die
20003	71	65	18	32	30
#troopa spin
20004	215	32	16	32	30
20005	246	31	16	32	30
20006	275	31	16	32	30
#die fly
20007	215	68	16	32	30

#KOOPA GREEN
#walk
20008	31	119	16	26	30
20009	51	118	16	27	30
#die
20010	74	117	18	32	30
#troopa spin
20011	215	82	16	32	30
20012	245	82	16	32	30
20013	274	82	16	32	30
#die fly
20014	246	68	16	32	30

#CBRICK
40001	157	188	16	16	20
40002	176	188	16	16	20
40003	196	188	16	16	20
40004	215	188	16	16	20
40005	254	188	16	16	20
40006	353	286	16	17	20
40007	235	188	16	16	20

#MUSHROOM
50001	156	121	16	16	20

#LEAF RED
60001	180	121	16	16	20

#VENUS RED DOWN
70001	168	126	16	32	40
70002	151	126	16	32	40
#VENUS RED UP
70003	202	126	16	32	40
70004	185	126	16	32	40
#VENUS GREEN DOWN
70005	237	126	16	32	40
70006	220	126	16	32	40
#VENUS GREEN UP
70007	272	126	16	32	40
70008	255	126	16	32	40
#FIRE VENUS
70011	35	36	8	8	30
70012	50	37	8	8	30
70013	35	50	8	8	30
70014	50	50	8	8	30

#VENUS NO FIRE
70015	57	100	16	24	40
70016	38	101	16	23	40

#COIN
80001	290	101	14	16	20
80002	305	101	14	16	20
80003	315	101	14	16	20
80004	334	100	14	16	20
80005	351	100	14	16	20
80006	368	100	14	16	20

#============RED FIRE PIRANHA=============
# face up left
42001	201	126	16	32	51
42002	184	126	16	32	51
# face down left
42003	167	126	16	32	51
42004	150	126	16	32	51
# face up right
42005	222	126	16	32	50
42006	239	126	16	32	50
# face down right
42007	256	126	16	32	50
42008	273	126	16	32	50

#===========GREEN FIRE PIRANHA============
# face up left
42011	271	100	16	24	51
42012	254	100	16	24	51
# face down left
42013	237	100	16	24	51
42014	220	100	16	24	51
# face up right
42015	152	100	16	24	50
42016	169	100	16	24	50
# face down right
42017	186	100	16	24	50
42018	203	100	16	24	50

#MONEY
90001	294	101	8	14	20
90002	389	101	6	14	20
90003	318	101	7	14	20
90004	309	101	3	14	20


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== GOOMBA  =========
# walk
301	30001	100	30002	100
# die
302	30003	100
# die fly
303	30004	100
#=====GOOMBA RED ======
#has wing walk
304	30005	100	30006	100
#has wing fly low
305	30007	100	30006	100	30008	100	30005	100
#has wing fly high
306	30007	75	30006	75	30008	75	30005	75
#no wing walk 
307	30009	100	30010	100
#no wing die
308	30011	100
#die fly
309	30012	100

# ====  KOOPA RED =========
#walk
201	20001	100	20002	100
#die
202	20003	100
#troopa spin
203	20004	100	20005	100	20006	100
#die fly
204	20007	100

# ====  KOOPA GREEN =========
#walk
211	20008	100	20009	100
#die
212	20010	100
#troopa spin
213	20011	100	20012	100	20013	100
#die fly
214	20014	100

# ==== CBRICK  =========
401	40001	100	40002	100	40003	100	40004	100
402	40005	100
403	40006	100
404	40007	100

# ==== MUSHROOM  =========
501	50001	100

# ==== LEAF RED  =========
601	60001	100

# ==== VENUS RED MORE  =========
701	70002	100
# ==== VENUS RED UP  =========
702	70004	100
# ==== VENUS RED DOWN  =========
703	70001	100	70002	100
# ==== VENUS GREEN MORE  =========
704	70006	100
# ==== VENUS GREEN UP  =========
705	70008	100
# ==== VENUS GREEN DOWN  =========
706	70005	100	70006	100
# ==== FIRE VENUS  =========
710	70011	100	70012	100	70013	100	70014	100

# ==== VENUS NO FIRE  =========
711	70015	100	70016	100

# ==== COIN  =========
801	80001	150	80002	150	80003	150	80004	150	80005	150	80006	150
# ====== RED FIRE PIRANHA ======
# face up left
620	42001	200	42002	200
# face down left
621	42003	200	42004	200
# face up right
622	42005	200	42006	200
# face down right
623	42007	200	42008	200
# attack up left
624	42002	100
# attack down left
625	42004	100
# attack up right
